Disease Name,Image link,Page Origin,Origin,Pest Type,Legal in Australia
Xylella fastidiosa,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/1-xylella.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/xylella,plant,-,No
Khapra beetle,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/2-khapra.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle,plant,-,No
Fruit flies,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/3-exotic-fruit-fly.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/fruit-flies,plant,-,No
Karnal bunt,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/4-karnal-bunt.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/karnal-bunt,plant,-,No
Huanglongbing,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/5-huanglongbing.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/huanglongbing,plant,-,No
Gypsy moth,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/6-exotic-gypsy-moth.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/exotic-gypsy-moth,plant,-,No
Tramp ants,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/7-tramp-ant.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/tramp-ants,plant,-,No
Internal and external mites of bees,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/8-mites-bees.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/bees,plant,-,No
Giant African snail,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/9-giant-african-snail.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/giant-african-snail,plant,-,No
Brown marmorated stink bug,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/10-brown-marm-stink-bug.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/brown-marmorated-stink-bug,plant,-,No
Zebra chip,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/11-zebra-chip.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/zebra-chip,plant,-,No
Ug99 (Wheat stem rust),http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/12-ug99.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/ug99,plant,-,No
Russian wheat aphid (holocyclic form)â€‹,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/13-russian-wheat-aphid.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/russian-wheat-aphid,plant,-,No
Citrus canker,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/14-citrus-canker.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/citrus-canker,plant,-,No
Guava (Eucalyptus) rust,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/15-guava-eucalyptus-rust.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/guava-eucalyptus-rust,plant,-,No
Phytophthora blight,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/16.airborne-phytophthora.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/phytophthora-blight,plant,-,No
Phytophthora blight/sudden oak death,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/16-phytophthora-blight.jpg,http://www.planthealthaustralia.com.au/pests/sudden-oak-death/,pests,sudden-oak-death,Yes
Exotic bees,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/17-exotic-bees.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/exotic-bees,plant,-,No
Tropical Race 4,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/18-tropical-race-4.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/panama-disease-tropical-race-4,plant,-,No
Potato Cyst Nematode,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/19-potato-cyst-nematode.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/potato-cyst-nematode,plant,-,No
Leaf miner,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/20-leaf-miner.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/plant/leaf-miner,plant,-,No
Fire blight,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/21-fire-blight.jpg,http://www.planthealthaustralia.com.au/pests/fire-blight/,pests,fire-blight,Yes
Hessian fly/Barley stem gall midge,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/22-hessian-fly-barley-stem-gall-midge.jpg,http://www.planthealthaustralia.com.au/pests/hessian-fly/,pests,hessian-fly,Yes
Texas root rot,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/23-texas-root-rot.jpg,http://www.planthealthaustralia.com.au/pests/texas-root-rot/,pests,texas-root-rot,Yes
Wheat stem sawfly,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/24-wheat-stem-sawfly.jpg,http://www.planthealthaustralia.com.au/sci_name/cephus-cinctus/,sci_name,-,Yes
Golden apple snail,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/25-golden-apple-snail.jpg,http://www.planthealthaustralia.com.au/pests/golden-apple-snail/,pests,golden-apple-snail,Yes
Barley stripe rust,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/26-barley-stripe-rust.jpg,http://www.planthealthaustralia.com.au/pests/barley-stripe-rust/,pests,barley-stripe-rust,Yes
Cereal cyst nematode,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/27-cereal-cyst-nematode.jpg,http://www.planthealthaustralia.com.au/pests/soybean-cyst-nematode/,pests,soybean-cyst-nematode,Yes
Sharka,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/28-sharka.jpg,http://www.planthealthaustralia.com.au/pests/plum-pox-virus/,pests,plum-pox-virus,Yes
Drywood termite,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/29-drywood-termite.jpg,https://www.daf.qld.gov.au/forestry/pests-and-diseases/termites,pests-and-diseases,-,Yes
Subterranean termite,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/30-subterranean-termite.jpg,http://www.planthealthaustralia.com.au/pests/formosan-subterranean-termite/,pests,formosan-subterranean-termite,Yes
Citrus longhorn beetle,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/31-citrus-longhorn-beetle.jpg,http://www.planthealthaustralia.com.au/pests/citrus-longicorn-beetle,pests,citrus-longicorn-beetle,Yes
Red ring disease/Pine wood nematode,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/32-red-ring-disease.png,http://www.planthealthaustralia.com.au/pests/pinewood-nematode,pests,pinewood-nematode,Yes
Fusarium wilt,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/33-fusarium-wilt.jpg,http://www.planthealthaustralia.com.au/sci_name/fusarium-oxysporum-f-sp-vasinfectum/,sci_name,-,Yes
Sugarcane stalk borer,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/34-sugarcane-stalk-borer.jpg,http://www.planthealthaustralia.com.au/pests/yellow-top-borer-of-sugarcane/,pests,yellow-top-borer-of-sugarcane,Yes
Black sigatoka,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/35-black-sigatoka.jpg,http://www.planthealthaustralia.com.au/pests/black-sigatoka/,pests,black-sigatoka,Yes
Potato late blight,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/36-potato-late-blight.png,http://www.planthealthaustralia.com.au/pests/potato-late-blight/,pests,potato-late-blight,Yes
Sunn Pest,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/37-sunn-pest.jpg,http://www.planthealthaustralia.com.au/sci_name/eurogaster-integriceps/,sci_name,-,Yes
Western/Tarnished plant bug,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/38-western-plant-bug.jpg,http://www.planthealthaustralia.com.au/pests/tarnished-plant-bug/,pests,tarnished-plant-bug,Yes
Exotic sawyer beetles,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/39-japanese-sawyer-beetle.jpg,http://www.agriculture.gov.au/import/arrival/pests/japanese-sawyer-beetle,pests,japanese-sawyer-beetle,No
Burning Moth,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/40-burning-moth.jpg,http://www.planthealthaustralia.com.au/sci_name/hylesia-nigricans/,sci_name,-,Yes
European canker,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/41-european-canker.png,http://www.planthealthaustralia.com.au/pests/european-canker/,pests,european-canker,Yes
Dutch elm disease,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/42-dutch-elm-disease.jpg,http://www.agriculture.gov.au/pests-diseases-weeds/forestry-timber#field-guide-to-exotic-pests-and-diseases-dutch-elm-disease,pests-diseases-weeds,-,No
